Month,Avg. Players,Change_pct
2012-09-30,16000.75,0.03394809436143453
2012-10-31,10739.48,-0.32881396184553857
2012-11-30,14134.1,0.3160879297694117
2012-12-31,14079.39,-0.003870780594449008
2013-01-31,16164.22,0.14807672775596092
2013-02-28,17372.73,0.07476451075276147
2013-03-31,15959.89,-0.08132515730112655
2013-04-30,16006.0,0.002889117656825979
2013-05-31,18710.34,0.16895789079095347
2013-06-30,18119.84,-0.03156008923408127
2013-07-31,20492.52,0.13094376109281325
2013-08-31,25961.85,0.2668939691165362
2013-09-30,27678.91,0.06613781375364236
2013-10-31,27902.14,0.008064985217987264
2013-11-30,29890.52,0.07126263433557423
2013-12-31,46788.27,0.5653213794875431
2014-01-31,55627.35,0.18891658101485698
2014-02-28,59791.37,0.0748556240770053
2014-03-31,70143.33,0.17313468482157202
2014-04-30,78880.53,0.12456209307428079
2014-05-31,84925.02,0.07662841514883345
2014-06-30,84163.62,-0.008965555733752018
2014-07-31,106138.0,0.2610911935584521
2014-08-31,133185.79,0.25483606248468993
2014-09-30,131034.68,-0.016151197511386273
2014-10-31,133537.7,0.019101965983356672
2014-11-30,147329.07,0.10327697721317652
2014-12-31,183589.5,0.2461186376863711
2015-01-31,234070.68,0.2749676860604773
2015-02-28,239934.64,0.025052091103422436
2015-03-31,267996.31,0.11695547587459654
2015-04-30,291748.74,0.08862969046103664
2015-05-31,317286.29,0.08753268308887985
2015-06-30,344156.01,0.08468604174482297
2015-07-31,329532.38,-0.042491281788163415
2015-08-31,357535.24,0.08497756730309769
2015-09-30,355905.33,-0.00455873944062124
2015-10-31,362766.09,0.019276924006729645
2015-11-30,360925.88,-0.0050727177945436575
2015-12-31,377447.11,0.04577457842590826
2016-01-31,365371.09,-0.03199393949525797
2016-02-29,376285.02,0.029870808880910538
2016-03-31,379426.95,0.00834986734257992
2016-04-30,375795.87,-0.009569905353323027
2016-05-31,338738.39,-0.09861066328376622
2016-06-30,334311.06,-0.013070056806965491
2016-07-31,353777.56,0.05822870472786623
2016-08-31,347229.25,-0.018509681620281437
2016-09-30,322525.89,-0.0711442368406463
2016-10-31,333076.46,0.03271231962184484
2016-11-30,329045.26,-0.012102926757417865
2016-12-31,342195.7,0.03996544426745419
2017-01-31,393109.53,0.148785709463912
2017-02-28,402385.71,0.023596934930577795
2017-03-31,386908.72,-0.03846307066918464
2017-04-30,392199.19,0.01367369026989107
2017-05-31,371829.34,-0.05193751165064864
2017-06-30,374388.04,0.006881382733272101
2017-07-31,377589.04,0.008549952610665601
2017-08-31,374425.69,-0.008377759057836998
2017-09-30,354402.09,-0.053478168124628356
2017-10-31,341861.26,-0.03538588048394409
2017-11-30,321131.4,-0.06063822499220883
2017-12-31,340876.88,0.061487229215205996
2018-01-31,382030.53,0.12072878043239554
2018-02-28,382457.1,0.001116586153467658
2018-03-31,354270.33,-0.07369916782823471
2018-04-30,289076.7,-0.1840222690960318
2018-05-31,262170.88,-0.09307502126598233
2018-06-30,266862.24,0.017894283301028713
2018-07-31,273307.26,0.024151112574038347
2018-08-31,283531.31,0.03740862939389156
2018-09-30,333163.99,0.17505184877112856
2018-10-31,325907.82,-0.021779574677323277
2018-11-30,310085.43,-0.04854866630693311
2018-12-31,395509.26,0.2754848236500502
2019-01-31,401366.87,0.014810297994034327
2019-02-28,371358.96,-0.07476429232935933
2019-03-31,390240.16,0.050843528859516374
2019-04-30,351989.92,-0.09801717998475601
2019-05-31,364417.31,0.03530609626548409
2019-06-30,389376.72,0.06849128544415195
2019-07-31,393782.83,0.011315802341752779
2019-08-31,415097.3,0.05412747427306552
2019-09-30,410925.6,-0.010049932871160627
2019-10-31,408995.31,-0.004697419678890702
2019-11-30,426080.81,0.041774317656601
2019-12-31,456701.56,0.07186606221481795
2020-01-31,501196.0,0.0974256361200081
2020-02-29,543979.15,0.08536211382373371
2020-03-31,671033.29,0.23356435628093464
2020-04-30,857604.22,0.27803528197535465
2020-05-31,768795.25,-0.10355472597837723
2020-06-30,671647.46,-0.126363670951401
2020-07-31,625900.81,-0.06811110400089937
2020-08-31,639957.66,0.022458590523313005
2020-09-30,606850.32,-0.05173364125370428
2020-10-31,613666.69,0.01123237440164826
2020-11-30,668754.58,0.08976842135589935
2020-12-31,717803.75,0.07334405096709773
2021-01-31,743209.66,0.03539394994801848
2021-02-28,741013.24,-0.002955316807911279
2021-03-31,740927.82,-0.00011527459347426827
2021-04-30,723346.52,-0.023728762135021397
2021-05-31,659888.89,-0.08772784308134918
2021-06-30,549347.08,-0.16751579193885213
2021-07-31,506067.36,-0.07878392654785749
2021-08-31,512081.96,0.0118849791063389
2021-09-30,512350.92,0.0005252284224188664
2021-10-31,512435.85,0.00016576529227263492
2021-11-30,548161.67,0.06971764368164335
2021-12-31,546614.19,-0.002823035766072568
2022-01-31,602376.27,0.10201359756138073
2022-02-28,634638.4,0.05355810247970094
2022-03-31,581489.69,-0.08374644521982921
2022-04-30,568983.16,-0.021507741607593944
2022-05-31,564961.7,-0.007067801444246791
2022-06-30,572222.47,0.012851791546223401
2022-07-31,594453.07,0.03884957541076628
2022-08-31,641444.78,0.07905032772393628
2022-09-30,618776.04,-0.03534012701763667
2022-10-31,608349.53,-0.016850216113733163
2022-11-30,621005.99,0.020804585811055043
2022-12-31,629325.0,0.013396022154311238
2023-01-31,726150.29,0.15385578198863858
2023-02-28,805105.9,0.10873177507097043
2023-03-31,843474.54,0.04765663746843729
2023-04-30,918085.6,0.08845680155325142
2023-05-31,1117517.4,0.21722571402927993
2023-06-30,1085966.81,-0.028232750559409547
2023-07-31,881690.91,-0.18810510424347127
2023-08-31,922152.86,0.045891309007597636
2023-09-30,976137.99,0.05854249587210525
2023-10-31,792124.96,-0.18851128824522034
2023-11-30,714511.43,-0.09798142202210103
2023-12-31,770094.8,0.0777921355295883
2024-01-31,760859.23,-0.011992770240754846
2024-02-29,786630.82,0.033871692665146336
2024-03-31,885629.69,0.12585175597365983
2024-04-30,930748.98,0.05094599978914438
2024-05-31,958207.34,0.029501359217175782
2024-06-30,947520.53,-0.011152920202009642
2024-07-31,875365.08,-0.07615185921090284
2024-08-31,897337.88,0.025101298306302144
2024-09-30,836306.66,-0.06801364498286866
2024-10-31,829438.76,-0.008212179010986254
2024-11-30,852164.3,0.02739869547451579
2024-12-31,913953.36,0.07250838834717666
2025-01-31,914092.22,0.00015193335467356128
2025-02-28,1003570.56,0.09788765076679029
2025-03-31,1039662.81,0.03596383895518018
